area,corridor_zone,approval_watch,current_low_psf,current_high_psf,base_2030_low_psf,base_2030_high_psf,base_cagr_pct,bull_cagr_pct,bear_cagr_pct,water_score_10,water_risk,liquidity_score_10,legal_complexity,live_developments,in_progress_developments,planned_future_developments,economic_engine,investment_view,key_checks
Devanahalli-Airport-Bagalur,North Airport,BIAAPA/BMRDA/KIADB pockets,5500,9000,7800,13500,10.5,14.0,6.0,5,Medium-high,9,Medium,KIA Terminal 2 operational; airport cargo and passenger growth; Aerospace/defence ecosystem active,Airport expansion/T2 phase-2; Blue Line airport metro under execution; STRR links,ITIR/Aerospace SEZ expansion; logistics and hospitality growth,Airport + aerospace + logistics + premium plotted townships,Strongest institutional story but already priced; prefer branded/approved plotted layouts,Check BIAAPA approval; conversion; approach road; water source; airport noise contours
Hoskote-Budigere-Malur,East Industrial/Expressway,BMRDA/KIADB/Planning authority mix,3500,6500,5200,9800,10.8,15.0,6.5,6,Medium,8,Medium,Bengaluru-Chennai Expressway Karnataka section operational/advanced; Whitefield spillover,STRR eastern arcs; warehouse/logistics parks; road widening,Malur industrial growth; warehousing; truck terminals; industrial supplier ecosystem,Expressway + industrial spillover gives balanced price-to-growth setup,Avoid isolated agricultural/revenue layouts; verify expressway access not just distance
Doddaballapur-Rajanukunte,North/Northwest Industrial,BMRDA/KIADB pockets,3000,6000,4300,8500,9.2,13.0,5.5,6,Medium,7,Medium,Doddaballapur industrial base; access to airport corridor,STRR north-west connectivity; regional road upgrades,Industrial and logistics expansion; suburban residential demand,Good patient-investor corridor with less froth than airport core,Check groundwater dependency; road width; layout approval; distance from actual employment nodes
Bidadi-Ramanagara,Southwest Mysuru Road,BMRDA/Ramanagara planning,3000,5500,4300,7600,8.5,12.0,5.0,7,Medium-low,7,Medium,Bidadi industrial area; Mysuru Road/Purple Line to Challaghatta improves approach,STRR/IRR integration; suburban logistics; road upgrades,Bidadi smart-city style plans; industrial deepening; Mysuru corridor growth,Value corridor for long holding; slower than east/north but better water relative to many zones,Confirm distance from industrial pollution pockets and flood-prone lowlands
Kanakapura Road-Harohalli,South Green/Industrial,BMRDA/Harohalli industrial,3200,6500,4600,9200,9.1,12.5,5.5,6,Medium,8,Medium,Green Line extension to Silk Institute already improves southern access; Harohalli industrial area active,STRR/IRR southern links; Kanakapura Road widening in stretches,Industrial/residential mixed growth; villa/second-home demand,Good lifestyle + industrial blend; avoid overpaying for distant greenfield plots,Check ecological buffers; lake proximity; water table; real commute time
Nelamangala-Dabaspet,Northwest Tumakuru Road,BMRDA/KIADB,2500,5000,3600,7000,8.8,12.0,5.5,6,Medium,7,Medium,Tumakuru Road industrial belt; Dabaspet manufacturing/logistics active,STRR opened/under completion sections; Cauvery Stage VI proposed coverage for Nelamangala,Industrial warehousing; regional goods movement; future suburbanization,Less glamorous but economically grounded; better for industrial-led land bets,Check truck traffic; conversion; pollution; exact STRR interchange distance
IVC Road-Nandi Hills,North Premium/Lifestyle,BIAAPA/BMRDA pockets,4500,8500,6200,11800,8.6,12.0,4.5,5,Medium-high,8,Medium-high,Premium plotted/villa projects active; airport access improved,Airport metro and airport expansion spillover,Nandi/airport hospitality; premium second homes; branded township launches,Premium lifestyle corridor; entry price high and water risk must be discounted,Check BIAAPA approval; terrain; borewell reliability; distance from services
Sarjapur-Attibele,Anekal/Southeast IT Spillover,BMRDA/Anekal planning,4500,8500,6200,12000,9.0,13.0,4.5,4,High,9,High,Strong IT workforce demand; ORR/Whitefield/Electronic City spillover,Metro Phase 3A Sarjapur-Hebbal proposed; road upgrades; STRR southern/eastern access,Peripheral office/residential growth; logistics toward Hosur,High demand but water/legal froth risk; be selective,Check tanker dependence; lake encroachment; RERA; A-khata/e-khata ambiguity
Magadi Road-Tavarekere,West Growth/Magadi,BMRDA/Planning authority mix,2800,5500,4000,7800,9.0,13.0,5.0,5,Medium-high,7,Medium,West Bengaluru expansion; NICE/Mysuru Road access in parts,Metro Phase 3 Hosahalli-Kadabagere; IRR/PRR style regional links,Affordable residential westward growth; warehousing pockets,Good affordability + metro optionality, but timeline risk remains,Check exact distance from Phase 3 stations; water; road widths; approval chain
Yelahanka-Doddaballapur Road,North Mature-Airport,BIAAPA/BBMP fringe/BMRDA mix,6000,10500,8000,14500,8.4,11.5,4.5,6,Medium,10,Medium,Yelahanka mature base; airport road access; education/defence ecosystem,Airport metro; airport expansion; suburban rail improvements,Premium residential + airport economy + defence/education,Best liquidity but lower upside than raw corridors,Buy only if price gap vs Devanahalli/Rajanukunte makes sense
Jigani-Bommasandra,South Industrial,Anekal planning/BMRDA pockets,3000,6000,4100,8200,8.1,11.5,4.5,4,High,8,High,Bommasandra industrial belt; Electronic City employment nearby,Yellow Line metro to Bommasandra; Hosur industrial spillover,Manufacturing + affordable workforce housing,Useful for end-user/liquidity but water and title diligence matter,Check industrial pollution; water; road access; approvals
Electronic City-Chandapura,South IT/Residential,Anekal/BBMP fringe mix,3500,7000,4700,9300,7.8,11.0,4.0,4,High,9,High,Electronic City mature IT hub; elevated expressway access,Yellow Line metro; Chandapura-Anekal growth; STRR/Hosur connectivity,IT workforce housing + plotted/villa demand,Good liquidity; lower hidden upside because market knows the story,Avoid unapproved layouts; check flooding and tanker dependence
Hennur-Bagalur,North-Northeast Airport Spillover,BBMP fringe/BIAAPA/BMRDA mix,5500,10000,7200,13200,7.6,11.0,4.0,5,Medium-high,9,Medium-high,Hennur residential corridor mature; airport approach demand,Peripheral road upgrades; airport metro spillover; Bagalur township growth,Premium residential + airport/Manyata spillover,Liquid but pricing is stretched; better for safer liquidity than max CAGR,Check congestion; water source; approvals; distance from real social infra
Whitefield-Kadugodi Edge,East Mature IT,BBMP/BMRDA fringe,6500,12000,8200,15000,6.8,9.5,3.5,4,High,10,Medium,Purple Line to Whitefield/Kadugodi operational; IT hub mature,ORR upgrades; suburban extensions; road capacity projects,IT employment + rental demand + mature social infra,Most liquid but lower land-multiplier potential,Buy for end-use/liquidity, not outsized appreciation; verify drainage/flood risk
Kengeri-Mysuru Road-Bidadi Approach,West/Southwest Transit,BMRDA/BBMP fringe/Ramanagara,3500,7000,4700,9500,7.9,11.0,4.0,7,Medium-low,8,Medium,Purple Line to Challaghatta operational; Mysuru Road corridor active,STRR/IRR links; suburban rail/road upgrades,Education, warehousing, Bidadi industrial spillover,Balanced livability corridor; less speculative than airport/east,Check exact metro/road access; title; low-lying/flood-prone parcels
