state_ut,development,status,development_type,notes
Andhra Pradesh,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Arunachal Pradesh,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Assam,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Bihar,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Chhattisgarh,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Goa,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Gujarat,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Haryana,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Himachal Pradesh,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Jharkhand,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Karnataka,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Kerala,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Madhya Pradesh,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Maharashtra,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Manipur,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Meghalaya,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Mizoram,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Nagaland,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Odisha,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Punjab,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Rajasthan,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Sikkim,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Tamil Nadu,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Telangana,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Tripura,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Uttar Pradesh,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Uttarakhand,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
West Bengal,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Andaman and Nicobar Islands,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Chandigarh,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Dadra and Nagar Haveli and Daman and Diu,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Delhi,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Jammu and Kashmir,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Ladakh,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Lakshadweep,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Puducherry,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
